gang number,x location,y location,y,gang members,,,,max y
0,436,620,70,23,,,,690
1,420,588,102,102,,,,
2,406,605,85,97,,,,
3,370,586,104,53,,,,
4,401,549,141,568,,,,
5,436,500,190,153,,,,
6,425,480,210,238,,,,
7,481,467,223,150,,,,
8,455,439,251,297,,,,
9,481,417,273,182,,,,
10,434,415,275,364,,,,
11,410,400,290,137,,,,
12,386,414,276,205,,,,
13,347,420,270,443,,,,
14,373,438,252,247,,,,
15,390,446,244,320,,,,
16,307,451,239,210,,,,
17,347,475,215,161,,,,
18,471,358,332,256,,,,
19,584,302,388,14,,,,
20,464,281,409,141,,,,
21,579,180,510,14,,,,
22,649,161,529,14,,,,
23,469,201,489,94,,,,
24,437,208,482,34,,,,
25,456,245,445,35,,,,
26,413,243,447,160,,,,
27,414,285,405,108,,,,
28,348,288,402,127,,,,
